,user,date,rating,review
92,Anonymous,20-Oct-20,0,"Season 10 is doomed, and its looking like Season 11 is also doomed. ADC in 2020 KEKW"
96,Anonymous,05-Oct-20,8,"The game is fun but the thing is the cuminity, i stopped playing this game for that."
97,Anonymous,29-Sep-20,0,worst matchmaking in ranked games. Constant streak of defeats due to feed in the team. Constant games against the smurf. I do not advise playing this ****
101,Anonymous,15-Nov-11,8,"                                League of Legends handles well the worst problem DOTA has: its autistic n00b-hating elite players. Thanks to match making, now we weaklings dare to play. [Nov 2011]                             "
102,Anonymous,01-Feb-11,7,"                                Improvements are constantly being updated and although team mates make or break many matches, there is genuine fun to be found.                            "
103,Anonymous,29-Aug-20,9,My favourite game. Can't stop playing. Addicted???? Only thing I don't like is that they keep introducing new characters and that the game isn't always optimized. Also that ranked queue system isn't always fair. Great game overall;!
104,Anonymous,29-Aug-20,0,"This Game is not fun at all. toxic community, bad MMR system. Time waste..."
105,Anonymous,28-Aug-20,0,"Save yourself the pain of helplessly watching your champion get destroyed by max-level exploiters. There is no strategy, there is no fun, all there is is a **** of rape waiting to piss you off until you rip your hair out."
111,Anonymous,13-Aug-20,10,"This is the best online game of the world, perfect stratega sistem, and the game is so funny because have a great choice of champions"
116,Anonymous,06-Aug-20,0,"worst game ever made, worst community, worst balancing, worst ban system, worst mm system. They should only do videos and music, cause they cant make games for **** pls dont play, you will regret it"
119,Anonymous,02-Aug-20,0,the worst game matchmaking ever. Trash community. Rito did only skin don't banned ruined
120,Anonymous,30-Jul-20,7,"League of Legends gets so many things right, from the wide range of interesting and likeable characters to the satisfying and rewarding gameplay, however the experience is held back by its toxic community, lack of game modes and very poor champion balancing."
126,Anonymous,20-Jul-20,0,"It has great potential, but the developers have lost their minds completely.+ The matchmaking is 100% unfair and unbalanced.+ Champion balance is biased towards those champions that sell the most skins.+ The community is absolute garbage in every server."
129,Anonymous,17-Jul-20,2,"I stopped playing.Bad community,ridicilous champions etc.Old version is so much better new versions of the game."
130,Anonymous,16-Jul-20,1,"Never download this garbage game. This is the worst game ever created. I have wasted 6 years of my life in this garbage game. The community is awful, there are so many bugs in the game and in the client that never get fixed and they focus way too much on skins than balancing the game and fixing bugs. This game is awful."
132,Anonymous,14-Jul-20,0,Don't play that **** dude. I was challenger 2 seasons ago then I always play at the high elos but that game **** my life. I was smoking after all the games cause u're getting mad every one of games. I left that **** 1 month ago and I'm happy now. I quit smoking. I have a life now. THE WORST COMMUNITY EVER.
137,Anonymous,07-Jul-20,5,"Love it, but not the best game in the universe. Also, Riot treats its employees badly."
138,Anonymous,01-Jul-20,6,The game you love to hate but you still end up in its arms. Can't deny you can get free skins if you played enough and I think that's kinda nice. That's it.
139,Anonymous,01-Jul-20,0,This game is actually a giga kloc. Developers cant do balance between characters and only no lifes who read patch notes can win
143,Anonymous,28-Jun-20,0,"dont plays this game pls, this game just ruins your life and your mental health, and riot games suck, sh1t company"
144,Anonymous,27-Jun-20,8,"True, community is terrible.However, the game is pretty OK.Most of the comments are probably a bunch of bronze crybabies xDI will give it an 8 just because RIOT is going a good job supporting the game and the live events."
145,Anonymous,24-Jun-20,3,"Trash. Give it a 3/10 is being too much generous. I've played this game since 2014, so i know what it is. Trash"
147,Anonymous,23-Jun-20,0,"Dsnt matter how nice or good you are, there will be alwys few fcktards in games who will nerdrage feed feast for the enemy and most of the time u'll loose, and Riot dsnt care about feeders or flamer craps, no ppunishments for them. But your game will get ruined for sure."
151,Anonymous,21-Jun-20,0,**** game.all games are played same.freaking booooooooooooooooooooring.
152,Anonymous,21-Jun-20,0,"Mierda de juego, una mierda injugable, los minijuegos del roblox son mejores que esto"
154,Anonymous,14-Jun-20,0,"There is just one word that can describe this game perfectly, that word is - CANCER."
155,Anonymous,14-Jun-20,0,"League of legends is the worst game ever. Worst team balance, champions unskilled and unbalanced everywhere, worst community toxic ever. Wasted 10 years of my life gettin sick playing this horrible i don't know how to specify the gener."
159,Anonymous,06-Jun-20,1,I started playing the league in 2011. She turned from the best MOBA to the worst. Esports killed her. the riots made such a disgusting balance. That I turned from the best player to the worst.
160,Anonymous,05-Jun-20,0,This game and the company that made it and the company that owns the company that made it and the totalitarian government that owns the company that owns the company that made it ALL SUCK BUTT. As well as the person (Xinnie the Pooh) who leads the totalitarian government that owns the company that owns the company that made this **** game. 0/10.
164,Anonymous,03-Jun-20,0,"This game has been out for 10 years and still trash filled with bugs, broken client, terrible matchmaking. The developers are useless."
165,Anonymous,30-May-20,3,dota is better dota is better  dota is better  dota is better  dota is better  dota is better  dota is better  dota is better  dota is better  dota is better
166,Anonymous,28-May-20,10,"Best game ever! Ever!.. Yes! This game has always been good. No, more than good... No no, THE BEST!"
167,Anonymous,27-May-20,1,"Trash game trash comunity 0 fun only tilt,  cinematics are good and it is all."
168,Anonymous,27-May-20,0,"Worst game ever. Most toxic, childish community. Broken game at its fundamentals. The developers are money greedy."
169,Anonymous,25-May-20,5,This game used to be more fun. If you have 4 friends to play with it's okay but with randoms it's just impossible. A lot of game breaking patches and updates also ruin the fun.
173,Anonymous,15-May-20,0,"If you ask a normal person what would be the rating for this game is, he would answer 0-5, if you ask a sweaty nerd, 10/10.Hypocrites, this game doesn't deserve the fame it has, it is utter garbage. Unbelivable people enjoy playing this thing."
174,Anonymous,13-May-20,2,"One of the most overrated games out there. The gameplay is too complicated, the balance is non-existent and the community is the worst when it comes to MOBAs."
175,Anonymous,07-May-20,0,"If you are a masochist and want to play with the worst video game community, this is the best option."
178,Anonymous,22-Apr-20,5,GRAPHICS: GoodSTORY: No storyFUN: MehPRICE: FreeWORTH BUYING: It's freeOVERALL SCORE: 5/10
179,Anonymous,21-Apr-20,0,"Don't play this **** go watch movies,go play single player games,go play other online games.But don't play this ****,this is the worst moba game i have had played this is garbage totally garbage.They don't know how to balance heroes they don't know what they are doing they are just bringing new skins... for lux garbage 100/0 don't play go sleep and be good"
186,Anonymous,21-Mar-20,0,"Probably the worst game I've played in my life.  I don't understand the appeal of MOBAs, and this one has the worst community I've been in contact with. Don't play it."
188,Anonymous,15-Mar-20,3,"It was a really good game.But.Riot games.You know, they took all the good stuff this game had and threw it in a trash. Now they open to say ""We'Re GoNnA rEaLeaAsE 20) mOrE sKinS tHis Year)00r))"" when client is broken, so does the game. That's all"
189,Anonymous,14-Mar-20,0,"Game is fine, Player-base toxicity INTOLERABLE. I would never play this game again."
195,Anonymous,26-Feb-20,7,"Fun game to play with friends, but a toxic community, still the best moba out there."
197,Anonymous,23-Feb-20,9,This game is awesome. My firs play this game 8 years ago.Then I like it. I prefer play the LoL than all MMO RPG games.
199,Anonymous,19-Feb-20,10,"While there are countless moments of frustration, this is still my most played game of all time. A testament to its design and quality."
200,Anonymous,17-Feb-20,0,"This game takes close to a thousand hours to get good, it's not worth playing for that long.  The developers aren't a good match for it either."
201,Anonymous,15-Feb-20,10,Best moba ever made thank you Riot Games playing since 2015 and surely i will play it for next at least five years
202,Anonymous,13-Feb-20,0,"Bugfeast of a game, new patch only makes more bugs, comunity is **** know to manking and they keep  releasing new champ, tryed to play crash wana be tournament butfest"
207,Anonymous,12-Feb-20,0,dog game dog game dog game dog game dog game dog game dog game dog game dog game unban karlos999
208,Anonymous,10-Feb-20,8,"Although there's is some pay-to-win factor in the game, it's still a great game. Properly balanced, great gameplay. People paying will reach max level sooner. Although that's not too bad a feature, they need to pay their bills as well."
209,Anonymous,07-Feb-20,0,"Everything about this game is fine. The mechanic, the balace, champions are unique in their ways. But LOL has the most toxic community. Since Riot just want to grab the most players, they let those toxic players grow. i've played this game every day for 6 years and i can tell how **** it is."
213,Anonymous,04-Feb-20,10,"Played this for a decade I am in fact bias with this one folks. I can admit though, that the game absolutely has its discrepancies... Like patch notes constantly changing champs. That part is trash. stop changing champ kits so frequently. sick of having to relearn champs."
215,Anonymous,03-Feb-20,10,"Good Game, But Slow developer and toxic comminity but for all esport for me league of legends the most Fun Watch in Stage or Home its very entertent"
218,Anonymous,01-Feb-20,0,**** this game. its filled with useless spics that constantly feed. my account name is crazyrooster100
220,Anonymous,25-Jan-20,2,"No need to play this game, just run Hearthstone.Riot once again show us that they really love to steal other ideas."
222,Anonymous,16-Jan-20,10,"Played for 3 years and the passion never went away, with infinite mechanical and macro depth and an ever changing meta it's hard to believe I will ever stop"
223,Anonymous,14-Jan-20,0,"Superusers paradise.  If you have no lag, and fast internet, then youre instant diamond.  It takes little skill to play support or tank with decent ping and you can get streaming before you can wipe your own ass with some of these things.  Internet infrastructure is so crap yet companies continue making games like this."
224,Anonymous,06-Jan-20,0,"Por lejos lo peor que alguna vez tuve la oportunidad de jugar, me da asco, mucho asco"
226,Anonymous,26-Dec-19,10,Just the best multyplayer game ever.Haters gonna hate.League of Legends is a masterpiece.
230,Anonymous,07-Dec-19,0,I feel so bad for the people who still plays this absolute garbage of a game.
233,Anonymous,28-Nov-19,7,"A decent moba with a deplorable community, recommended if you want spend time with friends in a simple game. PRO: f2p - a lot of champs and players - fast bug fixes . CON: is the cancer of online gaming communities - quality is behind than other games ."
236,Anonymous,10-Nov-19,1,"This game contains gambling, it's a scam, stay away. Don't support these people."
239,Anonymous,07-Oct-19,0,"RIOT. FIX THE GAME. IT SUCKS PLAYING THIS **** AND I'M ADDICTED. SO I CAN'T QUIT ( Legit quitted 3 weeks ago but ok ). BUT STILL THO, EVERYONE IS GARBAGE, BALANCE TEAM IS GARBAGE, COMMUNITY IS GARBAGE ( ESPECIALLY JAMNIK ) AND I KEEP GETTING BANNED FOR NO LEGIT REASON BECAUSE PREMADES REPORT ME. REEEEEEEEEEEEEEEEEEEEEEEEEEEEEEE"
240,Anonymous,05-Oct-19,0,Be a no life in you mom basement or Chin... grinder.. You want to play it for funn with other noobs on low levels? TO BAD SUCKER! SMURFS EVERYWHERE. GET REKT.
241,Anonymous,02-Oct-19,0,"The community is ... horrible.  The punishment system is also an issue.The game gets worse every year. Unnecessary changes.It's free but they make money from skins. And champion reworks happen very frequent and if you have skins on the reworked champion, you don't get  a refund."
243,Anonymous,29-Sep-19,1,"I've played for 9 years, and I've decided NOT to play this game. Because Riot does nothing about toxic players. Matchmaking is also bad. Every game you did your best, but peoplethoughtlessly ruins a game and nerves. I wish I could get payed for moral damage."
245,Anonymous,07-Aug-19,10,"LOL can be the best game i have ever played. Actually, the one and the most important problem is the community of the game. The age average is like 14. So, you can't play with mature people. This is the only problem which game has."
249,Anonymous,30-Jul-19,8,TFT Turned this Game around. Like way around. I'm not sure if it's b.c. of old age. But this game ez and fun. Must times i'm playing Starcraft 2 online while doing rank in TFT. Makes for a fun night.
252,Anonymous,22-Jul-19,0,This game is the worst I've ever seen and the mode tft makes it a contender for the golden mullet award I would rather play russian roulette with my 5 other personalities instead of starting this muck again
253,Anonymous,17-Jul-19,0,Same heros in every game and lootboxes.TFT is just roll a die. No skill and after patch every match you see ppl with multiple items and leveled up heros and halgf have nothing.RIP Riot
254,Anonymous,16-Jul-19,1,Its the teams. You can't pick what team you get and it seems to always involve some retard who doesn't know what he or she is doing.
257,Anonymous,10-Jul-19,0,"Worst gaming community i ever been a part of. They literally took my money and banned me, after another player insulted me, yelled racist slurs at me, and said literally everything negative. I am upset that I ever spent a dime on this piece of crap game and please do not make my mistake. The creators are RACIST, EVIL, and low-down pieces of ****"
259,Anonymous,06-Jul-19,3,"League was a great Game 6 Years ago, but today the Game gets only worse from patch to patch.The Balancing is awfulThe engine feels extremely laggy, they should code the whole game new.The community is extremely toxic.The Game is extremely addictiv and that's not good, u will spend money on the Game and u will be frustrated afterwards so pls dont try it out, it's not worth it."
260,Anonymous,27-Jun-19,0,"This game are a random TRASH. This new game mode called ""Teamplay tactics"" it has nothing to do with ""Tactics"". Whether you win depends in 99% on luck"
262,Anonymous,04-Jun-19,7,this game is good and very lovely but requires some game modes and riot is stingy!!!
263,Anonymous,01-Jun-19,10,"This is NOT just a game is a masterpiece, that even in the dark nights could (and would) make me think i dont play this game for fun if i wanted fun i would go to the beach hunt tatu, this this in play to win."
264,Anonymous,24-May-19,7,"One of my favorite games, but community sucks.Gameplay: 35/40Story: 10/20Fun: 15/20Graphics: 6/10Audio: 5/10Full Score: 71/100"
265,Anonymous,21-May-19,10,"The community can be pretty trash, but after putting over 1,000 hours into this game, I can safely say that I love it."
266,Anonymous,16-May-19,0,Do you want to know what cancer balled up into a video game was?Look no further than this game and its player base.
271,Anonymous,31-Mar-19,0,"If you don't have money and want best community/gameplay/dev responses, better forget about this game."
273,Anonymous,17-Mar-19,9,"It's hard to learn to play in the beggining, but, in my view, it's worth to learn how to play and to play with friends! Sometimes it becames a little annoying, but I see it as the best MOBA game of the world!"
274,Anonymous,02-Mar-19,1,"the game is medicore at best duo to the unbalanced characters and mach maker system, but what drags it to the bottom of the barrel is the toxic playerbase.When one player can carrier the game in team game then there is a broken team game!"
275,Anonymous,22-Feb-19,0,Toxic community. Addictive for all the wrong reasons.    FF
277,Anonymous,15-Feb-19,0,The worst game ever created. Trailer have one of the ebst graphics of all time but game looks like garbage...
281,Anonymous,04-Feb-19,9,---------------------------------------------------------------------------
284,Anonymous,29-Jan-19,8,Definitely better in the older seasons. Started to get kinda crappy after realease of Zoe i dont like the new champs. Meta is really broken in this game because of the huge champ pool. Even with these problem Lol is still game-play wise the best MOBA out there.
285,Anonymous,27-Jan-19,2,"The game is pretty fun itself, but community is the worst ever imaginable and the main problem is that the system itself constructed so poorly that it protects and grows all the toxic, aggressive, negative behavior, which after all these years mutated the community into a complete toxic garbage pile.Do not recommend to even try it, especially if you live in Europe."
286,Anonymous,26-Jan-19,0,This game is so bad i had to make an account here to make sure you know it.Toxic community. Devs dont give a flying fck about players.Mostly 8year old play this and ruin 80 % of the games.Beware!
287,Anonymous,25-Jan-19,4,Game is super fun. But after a while It gets super boring. the characters are super unbalanced.
288,Anonymous,04-Jan-19,0,"worst gaming experience ever, only a toxic game with plenty flamers.must rely on a team, and trust me, that is not fun at all when theyre making you lose every single game almost on purpose, possibility to climb ladder only if youre god or pure luck.this is not fun. at all. super toxic and very unrecommended. waste of time"
290,Anonymous,29-Dec-18,0,"Used to be a decent game. Now if you are in need of salt and trolls its the game for you. If not go play dota, hots or other mobas if you really want a decent moba."
292,Anonymous,24-Dec-18,0,"Would be an OK game, but useless user support makes it unenjoyable........."
293,Anonymous,24-Dec-18,3,"An overrated by marketing microtransactions mess. Gameplay is decent with its ARPG feel, but other than that there aren't any strong points. What's more it has a huge roster of champions and a large learning curve made just to toy with your pocket."
295,Anonymous,07-Dec-18,7,"Its gameplay is addictive. League Of Legends, a world fever since your launch, has a plot nothing original, however, the more ""right"" than others that use the same base. His characters are your high point."
298,Anonymous,21-Nov-18,0,I dont wanna discuss here. i am just gonna leave a straight and short comment why this game is garbage and a 0/10.Worlds worst comunity and the most unbalanced game that exists.DO NOT PLAY THIS GAME. IT WILL RUIN UR LIFE.
299,Anonymous,19-Nov-18,0,I want to die. Cut my dick off please because that is more enjoyable than **** playing this **** game
305,Anonymous,05-Oct-18,3,Worst community ever.Worst developer ever.Worst balance ever.Worst game play ever.Worst launcher ever.Worst ranking system ever.Worst matchmaking ever.It's all about LoL.
309,Anonymous,20-Aug-18,0,"copycat, worst childish design, low graphics, terrible sounds, cheap client"
312,Anonymous,22-Jul-18,8,"I will ignore the community the game has overall, and i will focus on the game.League of Legends it's a pretty solid MOBA for the genre, tons of characters, different combinations, tons of posibilities, you will stick to what's recommended to do but when you are confident enough to play on your own, it's pretty fun overall but not the best."
315,Anonymous,18-Jul-18,0,I've never encountered so much negativity in other people. Developers doesn't seem to take any effort in managing it. Unplayable.
316,Anonymous,30-Jun-18,1,"Plz stop nerfing the op characters & also the weak ones, stop making me update for 1 new skin and some colour changes on the menu. Fix ur community first bcuz they r bad like ur game. If u have not nerfed teemo yet plz do. Blitzjrank too strong. Plz ban hackers PROPERLY. Game is pay to win by Skinz=Wins. Riot, with balancing like that you should go and work for Blizzard. Lots of love, Me"
317,Anonymous,24-Jun-18,0,worst game ever ....... most toxic community ever ...... how ppl still play this *****
322,Anonymous,05-Jun-18,6,"League of Legends(LOL) is one of the best MOBA in the world,  It offers a lot of champions, beautiful skin concept, graphics are great, each champion has an unique gameplay. Is a nice game to play with friends, but some players are so Toxic and some times Riot games creates unbalanced champions."
323,Anonymous,20-May-18,7,"it is my favourite competitive game, if i don't calificate ii with a  10, it is because it has the worst player comunity."
324,Anonymous,17-May-18,0,"This community is so bad. I played a lot with this, and i saw many players, who have to be at better rank, than mine, but when i'm the best in the team noone honored me."
325,Anonymous,13-May-18,1,Bad community. Ugly/outdated graphics. Oversimplistic UI. You need to pay to unlock champions. Avoid at all cost.
326,Anonymous,10-May-18,9,"I have played this game for nearly 100 hours and I love it. If you like MOBAs check it out! But mute everybody in the game, as the playerbase can be very toxic."
328,Anonymous,24-Apr-18,2,"1. No balance in normal games. One team can be x20 powerful than other one, so in the end (very fast end) nobody enjoyed the match. Worst part is Riot Games know about this problem but doing anything about it. 2. Toxic community (no idea why? Maybe because game is ""toxic"" as well?)"
332,Anonymous,06-Apr-18,9,This game in 8 years has very strongly changed to the best and continues to go in the same direction. I play very long and I am happy with everything
333,Anonymous,22-Mar-18,9,LoL is a great game with a great team development. They're always giving total suport for players. It's not perfect because there isn't a single mode.
334,Anonymous,16-Mar-18,0,Worst community in casual game! Some useless system in MOBA like buy new hero or tree of talant or rune.
336,Anonymous,19-Feb-18,0,"worst game ever...trollers,feeders,noobs in every single game,u cant do **** in ranked even if u play good every game,this game just suck,,,never start play this game"
337,Anonymous,06-Feb-18,7,"Ein sehr kompetetives Spiel, welches sehr hohen Wiederspielwert mitbringt. Jedoch gibt es einige bugs die meist zwar nicht spielentscheident sind aber einfach nerven. Des Weiteren sollte man sich bewusst sein dass wenn man keinen Helden spiel der zuzeit Meta ist sehr schwere Karten hat."
342,Anonymous,23-Dec-17,9,"Very fun and addictive game, but the community is SO toxic. It's a very good game."
343,Anonymous,11-Dec-17,10,"It is the most perfect game of MOBA genre. Gameplay, intuitiveness, esports are all excellent. It is hard to imagine how much users are playing this game. It also tells us that this game is great."
344,Anonymous,05-Dec-17,1,"The game is impossible to enjoy as a new player with the massive influx of smurf accounts from higher level players. Only a small fraction of the heroes are actually viable (the game has 130+ heroes, ofc it's not balanced). Overall it's just not fun, it's frustrating and does not lend itself to new players. I shouldn't have to spend 8 hours on youtube to play a video game lol."
346,Anonymous,28-Nov-17,7,Uno de los mejores juegos competitivos actuales sin duda alguna.Mueve grandes masas.Tecnicamente no es gran cosa pero ofrece mucha diversion y competitividad.Ideal para jugar con amigos.
347,Anonymous,28-Nov-17,0,League of legends isn't a bad game by any means. The reason I got such a strong opinion on it is because it got pay to progress faster. You can buy xp boosts. Enough said
353,Anonymous,21-Sep-17,0,"A good game, but a piece of crap community ,brazilian community is the worst of all, and the devs too.you loose acounts for doing nothing and being reported by kids"
354,Anonymous,14-Sep-17,0,Almost everything but the core gameplay is poor.  Riot is clearly milking this game for as much money as possible.Prepare for a toxic community and bugs galore.  This is a joke of a competitive game.
356,Anonymous,30-Jul-17,9,LoL is a great Moba which combines a simple gameplay with a variety of different champions and offers a breathtaking gaming experience.The Meta changes constantly and so there are times to strong things and too weak which sometimes makes it difficult for some Players.The only criticism would be the community
357,Anonymous,30-Jul-17,9,I think that this is truly a unique game and I would recommend that if you are a fan of this type of genre then I think you should give this game a try.
359,Anonymous,30-Jun-17,4,"The best of the game is the chat after the games, it's hilarious.I got placed in bronze III in ranked, clearly the system is broken because I suck at this game."
364,Anonymous,04-May-17,0,"Why you must play rank with bad skill and stupid player? You wil never find interest in this game, test champions, AFK/quit, Tool/hack and too many thing is all about of negative in LoL."
366,Anonymous,22-Apr-17,2,"**** game. only babooon play this game. launched this game and it costs 70 peso to change name, very bad. also you only have 5 seconds to ban and if you dont do it you get banned for matchmaking for 2 hours. **** game very very bad"
368,Anonymous,13-Apr-17,0,"Awful community, awful graphics, awful balance, awful design, awful ranked system, awful matchmaking, awful mechanics, awful launcher, awful gameplay, awful everything."
371,Anonymous,03-Apr-17,3,"This is a dumb person's Dota-clone. Made for kids, by company that only cares about money.  It's a childish game, made by childish people, and will never be built in a good way."
372,Anonymous,26-Mar-17,0,"Overhyped MOBA, does not promote skill but rather picking the easy path with lock on skills that does not miss. Worst part about League of Legends is the community management - endless toxicity no matter what level of ranking you sit at, slow response to critical issues such as the Hydra crash and Blade of the Ruined King bug existed for YEARS before they were acknowledged and fixed."
375,Anonymous,07-Mar-17,4,"A boring and repetitive mess of a game, if you can call it a game. Just doesn't have the replay value to even become invested in it. Very little depth to the game play. Just boring and makes no new strides as MOBA."
376,Anonymous,03-Mar-17,0,ADC in 2k17 LULTanks with 5k HP one shot squishes while not taking damage LULBalance team is a bunch of silver/bronze monkeys LULMaokai LUL
377,Anonymous,27-Feb-17,2,"It is still not solved the problem with the leavers/AFK. Why should I waste my time and nerves playing 3x5?Community was at the level of DotA 2. It is better to draw new skins, Rito?"
379,Anonymous,03-Feb-17,0,Dog **** **** game. If you ever **** get this game drink bleach you autistic **** Run by a bunch of high severely mentally handicapped whores who care about nothing but jerking each other off. **** you Riot.
380,Anonymous,07-Jan-17,9,"A lot of champions need nerfs, but the game is very good, with friends, this game becomes greater and the gameplay is very cool! And don't forgot folks, the best is thresh !!!"
383,Anonymous,11-Dec-16,9,"Far from perfection, i know, many many funy ways to play the game are simply blocked out by riot for no reason at all, but still, this game i play at least a match every single day for 6 years. That is very hard for any game to achieve."
386,Anonymous,30-Nov-16,8,"League of Legends as a game is fun, but its community is trash. Games are meant to be fun and the community doesn't reflect that. There are far too many people who blame others and lash out there frustration on them. It's a game for **** sake enjoy it."
